Lab coat,white lab coat คุณภาพดี,950.0,52,11-10-2021 23:27:07,1.png,1,1.0,1,pb.gum,เสื้อผ้า
Test tube,หลอดทดลองทำจากแก้ว ใช้ใส่ของเหลว แมลง ฯลฯ,39.0,124,11-10-2021 23:30:24,2.png,2,9.0,2,pb.gum,เครื่องใช้
Magnet,แม่เหล็กตัวยูใหญ่,40.0,8,11-10-2021 23:33:19,3.png,3,6.0,2,pb.gum,เครื่องใช้
Wine,ไวน์ชั้นเยี่ยม เข้มข้น หอมผลไม้,1300.0,10,11-10-2021 23:37:55,4.png,4,1.0,1,jake.doggy,อาหารและเครื่องดื่ม
Apple juice,น้ำผลไม้สด ไม่ใส่น้ำตาล,18.0,499,11-10-2021 23:39:45,5.png,5,11.0,3,jake.doggy,อาหารและเครื่องดื่ม
Ping Pong,Table Tennis Paddle and Ball,229.0,11,11-10-2021 23:41:33,6.png,6,0.0,2,jake.doggy,สุขภาพ
Egg,ไข่ไก่สดจากห้องครัวที่บ้าน (?),6.0,4232,11-10-2021 23:44:18,7.png,7,5.0,1,pepplerm,อาหารและเครื่องดื่ม
Dress,A pretty dress<comma> suitable for a ball<comma> party or other similar occasion.,599.0,5,11-10-2021 23:46:02,8.png,8,11.0,3,winter.ae,เสื้อผ้า
Kimono,A traditional Japanese robe that can be worn by women or men.,2100.0,13,11-10-2021 23:46:46,9.png,9,7.0,2,winter.ae,เสื้อผ้า
Prayer Beads,A string of beads<comma> as used in prayer or meditation in many religious traditions. Generally depicted as red<comma> wooden beads with a gold<comma> decorative center bead and tassel.,189.0,17,11-10-2021 23:48:54,10.png,10,9.0,3,winter.ae,เครื่องประดับ
Shopping Bags,Two colorful shopping bags<comma> as contain consumer items bought at a department store.,445.0,22,11-10-2021 23:49:58,11.png,11,0.0,0,winter.ae,กระเป๋า
Luggage,A suitcase or bag<comma> as used for traveling.,3999.0,2,11-10-2021 23:51:07,12.png,12,0.0,0,winter.ae,กระเป๋า
Handbag,A bag or purse<comma> used to carry personal items<comma> often doubling as a fashion accessory.,159.0,44,11-10-2021 23:51:43,13.png,13,4.0,1,winter.ae,กระเป๋า
Lipstick,Red lipstick,289.0,549,11-10-2021 23:52:47,14.png,14,6.0,2,winter.ae,บำรุงและเสริมสวย
เพื่อนป๋มเองง้าบ,เลี้ยงง่ายไม่ดื้อ,7000.0,0,13-10-2021 01:00:01,15.png,15,5.0,1,kanisont,บำรุงและเสริมสวย
ปืนเปรี๊ยงๆ,,15.0,206,13-10-2021 01:03:15,16.png,16,2.0,1,kanisont,ของเล่น
ลูกอมสีรุ้งใส่กากเพชร,ห้ามกิน เอาไว้ถ่ายลงไอจีเท่านั้น,10.0,574,17-10-2021 22:39:57,17.png,17,3.0,1,lnwAsutin,เครื่องประดับ
กิ้บเซเลป,ติดแล้วสวย ติดแล้วปัง ติดแล้วรวย ติดแล้วคิมิโนโต๊ะ,12.0,4290,17-10-2021 22:52:50,18.png,18,5.0,1,lnwAsutin,เครื่องประดับ
แหวนแฟนรักแฟนหลง,ด้านบนเคลือบยาสเน่ห์,7000.0,67,17-10-2021 22:55:49,19.png,19,5.0,1,lnwAsutin,เครื่องประดับ
กำไลอาม่ายิ้มแฉ่ง,ใส่แล้วได้อั่งเปาเยอะกว่าเดิมเพราะอาม่าถูกใจ,599.0,467,17-10-2021 22:57:28,20.png,20,0.0,0,lnwAsutin,เครื่องประดับ
